order_id,customer_id,product_id,product_name,category,order_date,quantity,unit_price,amount,status,payment_status
ORD-5001,CUST-1103,PRD-607,NovaCase Magnetic Smart Folio,Accessories,2026-05-23,1,39.0,39.0,Completed,Paid
ORD-5002,CUST-1081,PRD-301,NovaSound ANC 700 (Noise-Canceling),Headphones,2026-05-23,1,299.0,299.0,Completed,Paid
ORD-5003,CUST-1104,PRD-502,NovaPad Air 10.9 (Lightweight),Tablets,2026-05-23,2,549.0,1098.0,Cancelled,Refunded
ORD-5004,CUST-1139,PRD-403,NovaWatch Fit Classic (Leather Band),Smartwatches,2026-05-23,1,179.0,179.0,Completed,Paid
ORD-5005,CUST-1093,PRD-602,NovaHub 8-in-1 Dual 4K USB-C Dock,Accessories,2026-05-23,1,59.0,59.0,Completed,Paid
ORD-5006,CUST-1014,PRD-203,NovaPhone 14 Lite (64GB),Smartphones,2026-05-23,1,449.0,449.0,Completed,Paid
ORD-5007,CUST-1074,PRD-403,NovaWatch Fit Classic (Leather Band),Smartwatches,2026-05-23,2,179.0,358.0,Completed,Paid
ORD-5008,CUST-1008,PRD-603,NovaKey Mechanical RGB Keyboard,Accessories,2026-05-23,1,129.0,129.0,Completed,Paid
ORD-5009,CUST-1041,PRD-302,NovaSound Sport Pods (Waterproof),Headphones,2026-05-23,1,149.0,149.0,Completed,Paid
ORD-5010,CUST-1024,PRD-204,NovaPhone Max 15 (512GB Gold),Smartphones,2026-05-23,3,1349.0,4047.0,Completed,Paid
ORD-5011,CUST-1119,PRD-104,NovaBook Ultra 13 (Portable),Laptops,2026-05-23,1,849.0,849.0,Completed,Paid
ORD-5012,CUST-1075,PRD-502,NovaPad Air 10.9 (Lightweight),Tablets,2026-05-23,1,549.0,549.0,Completed,Paid
ORD-5013,CUST-1124,PRD-501,NovaPad Pro 12.9 (120Hz Liquid OLED),Tablets,2026-05-23,1,899.0,899.0,Completed,Paid
ORD-5014,CUST-1049,PRD-602,NovaHub 8-in-1 Dual 4K USB-C Dock,Accessories,2026-05-24,1,59.0,59.0,Completed,Paid
ORD-5015,CUST-1018,PRD-301,NovaSound ANC 700 (Noise-Canceling),Headphones,2026-05-24,1,299.0,299.0,Completed,Paid
ORD-5016,CUST-1088,PRD-502,NovaPad Air 10.9 (Lightweight),Tablets,2026-05-24,1,549.0,549.0,Cancelled,Refunded
ORD-5017,CUST-1077,PRD-601,NovaCharge 100W GaN 4-Port Fast Charger,Accessories,2026-05-24,1,69.0,69.0,Completed,Paid
ORD-5018,CUST-1039,PRD-403,NovaWatch Fit Classic (Leather Band),Smartwatches,2026-05-24,1,179.0,179.0,Completed,Paid
ORD-5019,CUST-1142,PRD-607,NovaCase Magnetic Smart Folio,Accessories,2026-05-24,1,39.0,39.0,Completed,Paid
ORD-5020,CUST-1083,PRD-203,NovaPhone 14 Lite (64GB),Smartphones,2026-05-24,3,449.0,1347.0,Completed,Paid
ORD-5021,CUST-1099,PRD-204,NovaPhone Max 15 (512GB Gold),Smartphones,2026-05-24,2,1349.0,2698.0,Completed,Paid
ORD-5022,CUST-1082,PRD-606,NovaStand Aluminum Laptop Riser,Accessories,2026-05-24,1,45.0,45.0,Completed,Paid
ORD-5023,CUST-1098,PRD-401,NovaWatch Ultra Pro (Titanium Cellular),Smartwatches,2026-05-24,3,499.0,1497.0,Completed,Paid
ORD-5024,CUST-1039,PRD-501,NovaPad Pro 12.9 (120Hz Liquid OLED),Tablets,2026-05-24,3,899.0,2697.0,Completed,Paid
ORD-5025,CUST-1152,PRD-303,NovaSound Studio Pro (Wired HiFi),Headphones,2026-05-24,2,389.0,778.0,Completed,Paid
ORD-5026,CUST-1113,PRD-104,NovaBook Ultra 13 (Portable),Laptops,2026-05-24,1,849.0,849.0,Completed,Paid
ORD-5027,CUST-1037,PRD-402,NovaWatch Active 4 (Fitness/OLED),Smartwatches,2026-05-24,2,249.0,498.0,Completed,Paid
ORD-5028,CUST-1121,PRD-301,NovaSound ANC 700 (Noise-Canceling),Headphones,2026-05-25,1,299.0,299.0,Completed,Paid
ORD-5029,CUST-1021,PRD-303,NovaSound Studio Pro (Wired HiFi),Headphones,2026-05-25,2,389.0,778.0,Completed,Paid
ORD-5030,CUST-1098,PRD-303,NovaSound Studio Pro (Wired HiFi),Headphones,2026-05-25,1,389.0,389.0,Completed,Paid
ORD-5031,CUST-1125,PRD-503,NovaPad Mini 8.4 (Handheld),Tablets,2026-05-25,1,379.0,379.0,Returned,Refunded
ORD-5032,CUST-1074,PRD-204,NovaPhone Max 15 (512GB Gold),Smartphones,2026-05-25,1,1349.0,1349.0,Completed,Paid
ORD-5033,CUST-1026,PRD-607,NovaCase Magnetic Smart Folio,Accessories,2026-05-25,1,39.0,39.0,Completed,Paid
ORD-5034,CUST-1114,PRD-202,NovaPhone 15 (128GB Midnight),Smartphones,2026-05-25,1,799.0,799.0,Completed,Paid
ORD-5035,CUST-1012,PRD-303,NovaSound Studio Pro (Wired HiFi),Headphones,2026-05-25,1,389.0,389.0,Completed,Paid
ORD-5036,CUST-1096,PRD-402,NovaWatch Active 4 (Fitness/OLED),Smartwatches,2026-05-25,1,249.0,249.0,Completed,Paid
ORD-5037,CUST-1145,PRD-604,NovaMouse Wireless Ergonomic Pro,Accessories,2026-05-25,1,79.0,79.0,Completed,Paid
ORD-5038,CUST-1021,PRD-602,NovaHub 8-in-1 Dual 4K USB-C Dock,Accessories,2026-05-25,2,59.0,118.0,Completed,Paid
ORD-5039,CUST-1128,PRD-601,NovaCharge 100W GaN 4-Port Fast Charger,Accessories,2026-05-26,1,69.0,69.0,Completed,Paid
ORD-5040,CUST-1066,PRD-403,NovaWatch Fit Classic (Leather Band),Smartwatches,2026-05-26,1,179.0,179.0,Cancelled,Refunded
ORD-5041,CUST-1120,PRD-302,NovaSound Sport Pods (Waterproof),Headphones,2026-05-26,1,149.0,149.0,Completed,Paid
ORD-5042,CUST-1114,PRD-304,NovaSound Wireless Lite (BT 5.3),Headphones,2026-05-26,3,69.0,207.0,Completed,Paid
ORD-5043,CUST-1109,PRD-605,NovaPen Pro Stylus with Haptics,Accessories,2026-05-26,1,99.0,99.0,Completed,Paid
ORD-5044,CUST-1051,PRD-401,NovaWatch Ultra Pro (Titanium Cellular),Smartwatches,2026-05-26,2,499.0,998.0,Completed,Paid
